date,price,bedrooms,bathrooms,sqft_living,floors,yr_built,street,city,statezip
2014-05-09 00:00:00,376000.0,3.0,2.0,1340,3.0,2008,9245-9249 Fremont Ave N,Seattle,WA 98103
2014-05-09 00:00:00,800000.0,4.0,3.25,3540,2.0,2007,33001 NE 24th St,Carnation,WA 98014
2014-05-09 00:00:00,2238888.0,5.0,6.5,7270,2.0,2010,7070 270th Pl SE,Issaquah,WA 98029
2014-05-09 00:00:00,324000.0,3.0,2.25,998,2.0,2007,820 NW 95th St,Seattle,WA 98117
2014-05-10 00:00:00,549900.0,5.0,2.75,3060,1.0,1979,10834 31st Ave SW,Seattle,WA 98146
2014-05-10 00:00:00,320000.0,3.0,2.5,2130,2.0,2003,Cedar to Green River Trail,Maple Valley,WA 98038
2014-05-10 00:00:00,875000.0,4.0,2.0,2520,1.0,1921,6521 Fremont Ave N,Seattle,WA 98103
2014-05-10 00:00:00,265000.0,4.0,1.0,1940,1.0,1962,9908 S 210th Pl,Kent,WA 98031
2014-05-10 00:00:00,394950.0,3.0,2.5,1350,3.0,2006,5940 California Ave SW,Seattle,WA 98136
2014-05-11 00:00:00,842500.0,4.0,2.5,2160,2.5,1902,906 17th Ave,Seattle,WA 98122
2014-05-11 00:00:00,368000.0,3.0,2.5,1370,2.0,2007,5411 Fauntleroy Way SW,Seattle,WA 98136
2014-05-12 00:00:00,1225000.0,4.0,4.5,5420,1.0,2001,25005 NE Patterson Way,Redmond,WA 98053
2014-05-12 00:00:00,885000.0,4.0,2.5,2830,2.0,1995,3503 NE 43rd St,Seattle,WA 98105
2014-05-12 00:00:00,453246.0,3.0,2.5,2010,2.0,2014,2500 Mulberry Walk NE,Issaquah,WA 98029
2014-05-12 00:00:00,927000.0,4.0,2.75,3300,2.0,1953,9155 NE 21st Pl,Clyde Hill,WA 98004
2014-05-12 00:00:00,490000.0,2.0,2.5,1230,2.0,2004,106 24th Ave E,Seattle,WA 98112
2014-05-12 00:00:00,341000.0,3.0,1.5,1720,1.5,1952,17050 14th Avenue Northeast,Shoreline,WA 98155
